2025-01-26T20:32:14.262419Z [info     ] 2025-01-26 17:32:14,262 | INFO     | target-postgres      | Initializing 'target-postgres' target sink... cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=73c7986d-b85c-4847-baf7-bafc24c6dbe4 stdio=stderr string_id=target-postgres
2025-01-26T20:32:14.262645Z [info     ] 2025-01-26 17:32:14,262 | INFO     | target-postgres.public-products | Initializing target sink for stream 'public-products'... cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=73c7986d-b85c-4847-baf7-bafc24c6dbe4 stdio=stderr string_id=target-postgres
2025-01-26T20:32:14.517004Z [info     ] 2025-01-26 17:32:14,516 | INFO     | target-postgres      | Initializing 'target-postgres' target sink... cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=73c7986d-b85c-4847-baf7-bafc24c6dbe4 stdio=stderr string_id=target-postgres
2025-01-26T20:32:14.517318Z [info     ] 2025-01-26 17:32:14,516 | INFO     | target-postgres.public-region | Initializing target sink for stream 'public-region'... cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=73c7986d-b85c-4847-baf7-bafc24c6dbe4 stdio=stderr string_id=target-postgres
2025-01-26T20:32:14.679044Z [info     ] 2025-01-26 17:32:14,678 | INFO     | target-postgres      | Initializing 'target-postgres' target sink... cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=73c7986d-b85c-4847-baf7-bafc24c6dbe4 stdio=stderr string_id=target-postgres
2025-01-26T20:32:14.679303Z [info     ] 2025-01-26 17:32:14,678 | INFO     | target-postgres.public-shippers | Initializing target sink for stream 'public-shippers'... cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=73c7986d-b85c-4847-baf7-bafc24c6dbe4 stdio=stderr string_id=target-postgres
2025-01-26T20:32:14.821762Z [info     ] 2025-01-26 17:32:14,821 | INFO     | target-postgres      | Initializing 'target-postgres' target sink... cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=73c7986d-b85c-4847-baf7-bafc24c6dbe4 stdio=stderr string_id=target-postgres
2025-01-26T20:32:14.822014Z [info     ] 2025-01-26 17:32:14,821 | INFO     | target-postgres.public-suppliers | Initializing target sink for stream 'public-suppliers'... cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=73c7986d-b85c-4847-baf7-bafc24c6dbe4 stdio=stderr string_id=target-postgres
2025-01-26T20:32:14.973156Z [info     ] 2025-01-26 17:32:14,972 | INFO     | target-postgres      | Initializing 'target-postgres' target sink... cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=73c7986d-b85c-4847-baf7-bafc24c6dbe4 stdio=stderr string_id=target-postgres
2025-01-26T20:32:14.973416Z [info     ] 2025-01-26 17:32:14,973 | INFO     | target-postgres.public-territories | Initializing target sink for stream 'public-territories'... cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=73c7986d-b85c-4847-baf7-bafc24c6dbe4 stdio=stderr string_id=target-postgres
